Nama Tempat Makan,Longitude,Latitude,Deskripsi Resto,Peng-input
Angkringan Timbangan Tebu,110.3099616,-7.7946016,Angkringan sederhana yang menyajikan berbagai makanan ringan dan minuman khas Jawa dengan harga terjangkau. Suasana angkringan yang santai menjadi tempat nongkrong favorit di malam hari.,
Angkringan Pak Pinul,110.3336449,-7.8032365,Angkringan legendaris yang terkenal dengan nasi kucing dan aneka sate-satean. Tempat ini selalu ramai oleh pelanggan yang ingin menikmati makanan murah meriah dengan suasana yang khas.,
Aneka Soto & Sop Pak Nanto,110.3336448,-7.8032325,"Warung yang menyajikan beragam pilihan soto dan sop dengan cita rasa autentik. Kuahnya kaya rempah dan disajikan dengan isian daging yang melimpah, menjadikannya favorit keluarga.",
SOTO LAMONGAN & BAKSO ARNEX 69,110.2767143,-7.7961486,"Tempat makan yang menggabungkan dua hidangan populer, soto lamongan dengan kuah kuning yang gurih, dan bakso yang nikmat. Cocok bagi mereka yang ingin menikmati dua menu favorit sekaligus.",
Rawon & Soto Lamongan Cak Sukar,110.2767143,-7.7961446,"Warung yang terkenal dengan hidangan rawon dan soto lamongan dengan cita rasa otentik. Kuahnya pekat dan kaya akan bumbu, membuatnya digemari oleh pencinta kuliner Jawa Timur.",
Bakmi Godog Jokteng Kulon,110.2794106,-7.8126097,Tempat makan yang menyajikan bakmi godog khas Jawa dengan kuah gurih yang kental. Rasanya yang autentik dan porsinya yang besar membuat warung ini populer di kalangan pencinta bakmi.,
Gudeg Yu Djum Pusat Maguwo,110.0946179,-7.8726609,"Toko gudeg yang telah lama dikenal sebagai salah satu ikon kuliner Yogyakarta. Menawarkan gudeg dengan cita rasa manis dan gurih, Gudeg Yu Djum menjadi pilihan utama untuk oleh-oleh khas Jogja.",
Nasgor 212 Seturan,110.333645,-7.8032445,"Warung nasi goreng yang terkenal dengan porsi besar dan rasa yang lezat. Nasi gorengnya disajikan dengan berbagai topping seperti telur, ayam, dan bakso, menjadikannya favorit anak muda.",
Warung Sego Abang Pari Gogo,110.6478515,-7.9971498,Tempat makan yang terkenal dengan nasi merah (sego abang) yang disajikan dengan berbagai lauk tradisional. Menghadirkan suasana pedesaan dengan makanan yang sehat dan lezat.,
"Soto Ayam Lenthok Pak Min ""Cabang Pasar Lempuyangan""",110.3205159,-7.8523984,"Warung soto ayam yang menyajikan soto dengan lenthok (perkedel singkong) khas Yogyakarta. Kuah beningnya segar dan kaya rasa, menjadikan tempat ini favorit untuk sarapan.",
Bakpia Kurnia Sari,110.380787,-7.696534641,"Toko legendaris yang terkenal dengan bakpia khas Yogyakarta. Menyediakan berbagai varian rasa bakpia dengan kualitas premium, cocok sebagai oleh-oleh khas dari Jogja.",Grace
Mangut Lele Mbah Marto,110.3412221,-7.71361197,"Warung makan tradisional yang menyajikan hidangan mangut lele dengan cita rasa otentik. Lele dimasak dengan bumbu khas dan kuah santan pedas, menjadikannya favorit bagi pencinta kuliner khas Jogja.",
Jiwajawi Jogja,110.3113563,-7.735690991,Restoran bernuansa tradisional dengan menu yang memadukan masakan Jawa dan modern. Menyuguhkan pengalaman kuliner autentik dengan suasana khas Jogja yang kental.,
Warung Kopi Klotok,110.4231702,-7.59321473,Tempat makan dengan suasana pedesaan yang menyajikan kopi klotok khas dan masakan rumahan seperti sayur lodeh dan pisang goreng. Warung ini menjadi tempat favorit untuk menikmati pemandangan alam sambil menikmati makanan tradisional.,
Soto Kadipiro,110.35481,-7.769287514,"Restoran legendaris yang terkenal dengan soto ayam bening khas Yogyakarta. Menggunakan resep turun-temurun, soto Kadipiro menawarkan cita rasa yang autentik dan menjadi ikon kuliner Jogja sejak lama.",
Gubug Mang Engking Pusat,110.2669238,-7.71615243,Restoran keluarga yang menawarkan hidangan seafood dan masakan Sunda dengan suasana gubug di atas kolam ikan. Tempat ini cocok untuk bersantap sambil menikmati suasana alam yang asri dan tenang.,
Sate Ratu,110.396241,-7.707707046,Restoran yang terkenal dengan sate ayam khas Jogja yang memiliki bumbu pedas manis. Sate Ratu menjadi pilihan favorit bagi pencinta kuliner yang mencari pengalaman sate yang unik dan lezat.,
Lumpia Sami Jaya,110.3625783,-7.759024728,"Tempat legendaris yang menyajikan lumpia khas dengan isian ayam, udang, dan rebung. Lumpia Sami Jaya dikenal sebagai salah satu lumpia terbaik di Jogja dengan rasa otentik yang diwariskan dari generasi ke generasi.",
Gudeg Sagan,110.3781149,-7.759024728,Restoran yang menyajikan gudeg Jogja dengan cita rasa gurih dan manis yang seimbang. Gudeg Sagan terkenal karena penyajiannya yang modern namun tetap mempertahankan rasa tradisional.,
Ayam Pedas Artomoro,110.3788503,-7.728074491,"Tempat makan yang terkenal dengan ayam pedasnya yang menggugah selera. Dengan bumbu pedas khas yang meresap, Ayam Pedas Artomoro menawarkan sensasi rasa yang kuat bagi pencinta makanan pedas.",
Warung Sop dan Sate Pak Baru,110.4085956,-7.715663754,"Warung sederhana yang terkenal dengan hidangan sop dan sate kambing. Dengan rasa daging yang empuk dan bumbu yang khas, warung ini menjadi favorit bagi mereka yang mencari sate dan sop kambing berkualitas.",
Kandang Ingkung,110.2991293,-7.807225516,"Restoran yang menyajikan ingkung ayam khas Jawa, yaitu ayam utuh yang dimasak dengan bumbu tradisional. Kandang Ingkung menawarkan pengalaman bersantap dalam suasana pedesaan yang nyaman dan alami.",
Pukis Ko Yung,110.3734101,-7.77802122,"Toko legendaris yang terkenal dengan kue pukis khasnya, dibuat dengan resep tradisional dan tekstur yang lembut. Pukis Ko Yung menawarkan berbagai varian rasa, mulai dari klasik hingga modern.",
Tempo Gelato,110.372231,-7.807225516,Tempat yang populer di kalangan anak muda dengan berbagai pilihan es krim gelato buatan sendiri. Tempo Gelato menyajikan rasa yang unik dan eksotis dalam suasana yang nyaman dan Instagrammable.,
Mie Ayam Bu Tumini,110.391096,-7.821242854,Warung mie ayam terkenal di Jogja yang menyajikan mie dengan kuah kental dan daging ayam melimpah. Mie Ayam Bu Tumini dikenal karena porsinya yang besar dan rasa kuah yang gurih.,
Saoto Bathok Mbak Katro,110.4471014,-7.747646594,"Restoran sederhana yang menyajikan soto sapi khas dalam batok kelapa. Dengan kuah bening yang segar dan daging yang empuk, Saoto Bathok Mbak Katro menawarkan pengalaman kuliner yang unik dan autentik.",
Oseng Mercon Bu Narti,110.3563137,-7.786198627,"Warung yang terkenal dengan oseng merconnya, hidangan super pedas yang terbuat dari kikil sapi. Oseng Mercon Bu Narti adalah pilihan bagi pencinta makanan pedas ekstrem di Jogja",
Pathuk Kemetiran Kidul,110.3580823,-7.786782722,Toko legendaris di kawasan Pathuk yang dikenal dengan oleh-oleh khas bakpia. Pathuk Kemetiran Kidul menawarkan berbagai varian bakpia dengan isian klasik seperti kacang hijau hingga inovasi rasa modern.,
Angkringan Kopi Jos Lek Man,110.3633881,-7.773348343,"Angkringan terkenal yang menyajikan kopi jos, kopi hitam panas dengan arang membara yang dimasukkan ke dalamnya. Angkringan ini juga menawarkan berbagai pilihan nasi kucing dan lauk pauk khas.",
Entok Slenget Kang Tanir,110.3852007,-7.630216458,Tempat makan yang menyajikan olahan entok (itik) dengan bumbu pedas yang menggugah selera. Hidangan entok slenget Kang Tanir menjadi favorit bagi pencinta daging entok yang empuk dengan rasa yang kuat dan pedas.,
Sate Klathak Pak Pong Pusat,110.3875966,-7.870402168,"Sate Klathak Pak Pong adalah sate kambing legendaris dari Yogyakarta yang ditusuk dengan jeruji sepeda, dibakar dengan bara api, dan disajikan tanpa bumbu kacang, tetapi dengan kuah kaldu.",Claudia
Bakso Dan Es Buah PK Pakuningratan,110.3614451,-7.779697333,"Warung es buah legendaris ini telah berdiri selama 44 tahun, menyajikan es buah dengan isian nangka, cingcau hitam, sawo, kelapa muda, alpukat, susu coklat, dan parutan es, yang membuat banyak orang rela antre untuk menikmatinya",
Bakmi Jawa Mbah Mo,110.34811,-7.886536911,"Bakmi Mbah Mo di Bantul adalah tempat wajib bagi pecinta mie, menawarkan aneka mie godhog dan bakmi goreng yang disiapkan dengan telur bebek dan suwiran ayam kampung, dimasak di atas tungku arang.",
Rujak Es Cream Pak Nardi Pakualaman,110.3753694,-7.799139519,"Rujak Es Krim Pak Nardi adalah kombinasi unik antara rujak dan es krim buatan sendiri, yang menyajikan saus bawang putih, bengkuang, dan aneka buah, menciptakan rasa yang luar biasa dan cocok dinikmati di cuaca panas.",
Ronde Kauman Mbah Payem,110.3609572,-7.804364085,"Ronde Kauman Mbah Paiyem, yang berjualan sejak tahun 60-an, terkenal dengan kuah jahe manis-pedas dan ronde ketan beras yang hangat, menjadi pilihan populer di Jogja",
Soto Ayam Pak Dalbe,110.3738357,-7.782829685,"Soto Ayam Kampung Pak Dalbe adalah menu sarapan di Jogja yang menyajikan kuah bening gurih dengan ayam suwir, lenthok (perkedel singkong), serta taburan seledri dan bawang goreng, menjadikannya pilihan segar dan terjangkau.",
Wedang Tahu Bu Sukardi,110.3625449,-7.781546534,"Wedang Tahu Bu Sukardi, dikenal sebagai tahwa atau kembang tahu di daerah lain, adalah camilan pagi ringan yang terbuat dari kedelai lembut dengan kuah jahe mirip ronde, sempurna untuk santapan sebelum memulai aktivitas seharian.",
Ayam Geprek Bu Rum 1,110.3951552,-7.774894645,"Ayam Geprek Bu Rum adalah tempat lahirnya ayam geprek, menyajikan ayam goreng tepung yang digeprek dengan sambel uleg pedas, yang kini menjadi favorit di seluruh Indonesia dan negara-negara tetangga.",
Lupis Mbah Satinem,110.3633,-7.782287859,"Lupis Mbah Satinem adalah ikon kuliner Jogja yang telah berjualan jajanan pasar selama lebih dari 75 tahun, terkenal karena antrean panjang setiap pagi dan popularitasnya yang meningkat setelah diliput oleh Netflix, menjadikannya dikenal di Indonesia dan mancanegara.",
Gudeg Pawon,110.3901396,-7.804888904,"Gudeg Pawon menawarkan pengalaman unik menyantap gudeg langsung di dapur, di mana pengunjung berdesak-desakan untuk menikmati hidangan lezat ini yang buka hanya pada malam hari selama tiga jam.",
Bakpia Kukus Tugu Jogja,110.3819479,-7.753430154,"Bakpia Kukus Tugu Jogja adalah oleh-oleh khas Yogyakarta yang terkenal dengan tekstur lembut dan rasa unik, terbuat dari bahan berkualitas dan tersedia dalam berbagai varian seperti coklat, keju, dan klepon.",
Gudeg Mercon Mbak Yuni,110.3618235,-7.781515537,"Gudeg Mercon Mbak Yuni adalah kuliner khas Jogja yang terkenal dengan rasa pedasnya, terbuat dari gudeg yang dimasak dengan rempah dan cabai. Dengan suasana sederhana, warung ini menjadi favorit bagi pengunjung yang ingin menikmati gudeg dengan sensasi pedas.",
Nasi Teri Pojok Gejayan,110.3875473,-7.781652379,Warung kuliner legendaris di Yogyakarta yang menyajikan nasi campur teri pedas dengan menu yang dimasak secara tradisional menggunakan tungku arang.,
Bakso Bethesda 74,110.3761157,-7.783360312,"Warung bakso legendaris di Yogyakarta yang telah beroperasi sejak 1974, terkenal dengan bakso bertekstur kenyal dan kuah gurih yang tanpa penyedap rasa berlebihan.",
Tahu Walik Omta Pusat,110.3991459,-7.784436893,"Hidangan tahu yang diisi dengan berbagai bahan dan digoreng hingga renyah. empat ini menjadi favorit karena cita rasa tahu waliknya yang lezat dan porsi yang pas, ideal untuk dinikmati saat hujan.",
Jamu Ginggang,110.3748013,-7.800599742,"Minuman legendaris dari Yogyakarta yang telah ada sejak 1925, terkenal karena resep turun-temurun yang memiliki banyak khasiat. Terletak di Pakualaman, warung ini menawarkan berbagai macam jamu dengan harga terjangkau",
Gudeg Bu Hj Amad Ngaglik,110.4015689,-7.723352184,"Warung gudeg legendaris yang sudah berdiri sejak tahun 1965 di Sleman, Yogyakarta. Dikenal dengan gudeg keringnya yang tahan lama dan cita rasa gurih, menjadi salah satu pilihan favorit untuk kuliner di Jogja.",
Nasi Kuning Muna Cung,110.3624886,-7.79660731,"Berlokasi di Pasar Pathuk, Jogja, dikenal karena sajian nasi kuningnya yang khas, terutama dengan lauk empal.",
Mie Sapi Banteng,110.3901072,-7.734117668,"Mie Sapi Banteng di Jogja menyajikan mie dengan cita rasa yang bikin nagih, menawarkan pilihan mie goreng dan rebus yang disajikan dengan irisan daging dan bumbu chili oil",
Ayam Geprek Bu Made,110.3953364,-7.776017747,"Warung makan yang terkenal di Jogja, menyajikan ayam geprek dengan kuah tongseng yang kaya rempah dan harga terjangkau, menjadi favorit banyak pengunjung.",
Sate Ayam Podomoro,110.3689554,-7.7958403,"Sate Ayam Podomoro adalah salah satu kuliner yang menawarkan sate ayam dengan daging ayam yang empuk dan bumbu yang melimpah, tetapi tidak terlalu manis dan berminyak.",Adam
Bakpia Pathok 25 Pathok Jaya,110.3612991,-7.7974388,"Salah satu oleh - oleh yang wajib dibawa pulang saat berkunjung ke jogja, Bakphia. Bakphian Pathok 25 menawarkan Bakphia yang enak serta harga yang bersaing. Hal ini yang menjadikannya sebagai salah satu oleh - oleh terkenal.",
Bakmie Jawa Mas Timbul,110.356374,-7.769156,Bakmie Jawa Mas Timbul menyediakan bakmie jawa yang memiliki cita rasa kaldu yang lembut dan gurih. Menawarkan cita rasa bakmie jawa yang autentik dan suwiran ayam yang telah diungkep.,
Nasi Goreng Gila Balarika,110.385621,-7.750831,"Nasi goreng dengan campuran sosis, bakso, dan berbagai sayuran. Memiliki cita rasa yang dominan manis. Sangat cocok untuk seseorang yang suka manis. Restoran satu ini wajib untuk dicoba.",
Gudeg Yu Narni Tugu,110.36775,-7.784227,Gudeg adalah makanan khas jogja yang paling terkenal. Gudeg Yu Narni Tugu adalah salah satu pelopor Gudeg dan bisa menjadi rekomendasi bagi yang sedang mencari ngidam gudeg.,
Ayam Penyet Surabaya Monjali,110.369504,-7.759152,"Pengen penyetan Ayam dengan sambel nya yang pedas tetapi masih bisa dinikmati. Ayam Penyet Surabaya Monjali bertempat di Gemawang, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta.",
Mie Ayam Kobar Jaya,110.370925,-7.787209,Mie Ayam Kobar Jaya adalah salah satu mie ayam rekomendasi asal Yogyakarta. Mie Ayam dengan topping yang melimpah dan harga yang relatif terjangkau. Warung ini menyediakan cita rasa mie ayam yang dominan manis dari kecap nya serta berkuah.,
Kari Ayam Darling,110.37839,-7.831137,"Sesuai namanya, kari ayam ini adalah kesayangan penyuka kari ayam. Kari ayam nya disajikan dengan santan dan rempah - rempah yang pekat. Serta, bawang goreng yang nikmat.",
Sop Kaki Kambing 999 Pak Kumis cabang Timur Ambarukmo,110.41025,-7.785441,"Sop kaki kambing dengan kuah bening yang menyegarkan. Disajikan dengan kambing pilihan yang jauh dari bau amis. Memiliki banyak cabang, tetapi salah satu cabang yang terbesar adalah di ambarukmo timur.",
Tongseng Kambing Pak Min,110.356783,-7.792877,Sajian kambing yang ditongseng dadakan oleh pak Min nya langsung.. Kambing yang disajikan memiliki kualitas sangat baik. Wisata kuliner malam belum lengkap jika belum mencoba Tongseng kambing Pak Min satu ini.,
Sego Koyor Bu Parman,110.369233,-7.807756,"Sego Koyor legendaris ini buka di salah satu emperan bengkel di Jalan Brigjen Katamso No 111, Kota Yogyakarta. Dengan harga yang murah dan pelayanan yang baik. Sego Koyor Bu Parman tak pernah sepi pembeli, bahkan semakin ramai saat malam semakin larut.",
Es Buah Gerjen Keraton Yogyakarta,110.360457,-7.803811,"Es Buah Gerjen Keraton Yogyakarta dikenal dengan es buahnya yang tidak mengandung pemanis buatan, sehingga aman dikonsumsi dari anak-anak. Tentunya, disajikan dengan buah yang segar.",
Batagor Sempurna Jogja Batagor Sagan,110.379774,-7.776551,"salah satu warung batagor yang terkenal adalah Batagor Sempurna atau dikenal juga dengan Batagor Sagan, di Jalan Colombo Samirono, Yogyakarta.",
Ayam Goreng Kalasan Wiyono,110.4753637,-7.7618097,"Ayam goreng kalasan yang wajib dicoba. Berlokasi di Jalan Raya Yogya - Solo KM. 14.5, Tirto Martani, Kalasan, Bendan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta.",
Martabak Kasablanka,110.4095171,-7.7701257,Matyabak dengan pilihan topping melimpah dan kekinian. Disajikan dengan adonan yang lembut dan topping yang melimpah. ,
Nasi Bebek Madura Bumbu Hitam Alif Kricak Kidul,110.3603844,-7.778191,Nasi Bebek Madura Bumbu Hitam Alif Kricak Kidul menyajikan sajian olahan bebek dengan tambahan serundeng dan sambal hitam yang menggugah selera.,
Es Duren (Kangen Duren,110.4020606,-7.7989472,"Kangen Duren Menyajikan Es Durian Yang Memiliki Ciri Khas Rasa Yang Segar,Gurih Dan Manis Dengan Perpaduan Mutiara, Ketan Putih ,Susu Dan Gula Asli. ",
Lapis Legit Langgeng Sari,110.4011168,-7.8204041,Lapis Legit dengan kualitas premium. Bahan - bahan yang digunakan adalah barang dengan kualitas tertinggi. Dengan tambahan butter wisman sebagai topping. Lapis Legit Langgeng Sari adalah rekomendasi lapis legit yang wajib dicoba.,
Pisang Keju S3 Kaliurang,110.3827953,-7.7553861,"Pisang spesial ala S3 dengan saus keju dan keju parut melimpah diatasnya. Menyajikan pisang goreng yang crispy diluar, tetapi lembut di dalam. Hidangan ini cocok dijadikan teman mengobrol ditambah secangkir kopi hangat.",
Gulai Kepala Ikan Sangaji,110.3673723,-7.779084,Gulai Kepala Ikan Sangaji yang menyediakan gulai kepala ikan yang lezat dan nikmat. Kepala ikan yang empuk disajikan dalam kuah gulai yang memiliki sesapan yang lembut.,
Tengkleng Gajah,110.4052026,-7.729912685,"Berlokasi di daerah Bulurejo, Minomartani, Yogyakarta. Tengkleng Gajah menyajikan hidangan tengkleng kambing dalam porsi besar. Hidangan ini cocok untuk pecinta masakan berbahan dasar kambing dengan kuah rempah khas Jawa yang menggugah selera.",Astha
Bakmi Jowo Mbah Gito,110.3971897,-7.813214183,"Restoran ini terletak di Kotagede, Yogyakarta. Suasana tradisional Jawa yang unik dengan bangunan dari kayu dan bambu memberikan pengalaman kuliner yang khas. Bakmi Jawa di sini disajikan dengan cita rasa otentik, baik bakmi godog (kuah) maupun bakmi goreng.",
Gudeg Mercon Bu Tinah,110.3626798,-7.781124261,"Gudeg Mercon Bu Tinah terletak di daerah Kranggan, Yogyakarta. Dikenal dengan sajian gudeg yang sangat pedas atau disebut “mercon”, gudeg ini cocok bagi penggemar masakan pedas yang berpadu dengan manisnya gudeg tradisional.",
Gudeg Mbok Lindu,110.3652975,7.791148147,"Terletak di Sosrowijayan, dekat Malioboro, gudeg ini sudah sangat legendaris dan telah ada sejak puluhan tahun lalu. Rasanya yang manis dan lembut dengan lauk ayam atau telur membuat Gudeg Mbok Lindu menjadi salah satu tujuan wajib bagi wisatawan.",
Soto Bathok Mbah Katro,110.4469673,-7.760905157,"Soto Bathok Mbah Katro terletak di sekitar Candi Sambisari, Kalasan. Soto disajikan dalam bathok kelapa dengan kuah bening dan isian daging sapi yang ringan dan segar. Tempat ini populer di kalangan wisatawan dan penduduk lokal.",
Gudeg Permata Bu Narti,110.3732793,-7.800378054,"Berlokasi di depan Bioskop Permata, gudeg ini terkenal sebagai kuliner malam. Rasanya cenderung manis dengan lauk krecek, ayam, dan telur, cocok untuk dinikmati setelah jalan-jalan malam di Yogyakarta.",
Soto Sampah,110.3669302,-7.781409291,"Meski namanya terkesan kurang biasa, Soto Sampah adalah kuliner yang populer di Yogyakarta, terletak di daerah Kranggan. Dinamai demikian karena penampilannya yang tampak “berantakan” dengan banyaknya isian seperti daging, tauge, dan berbagai topping.",
Sego Pecel Bu Wiryo,110.3850134,-7.76621912,"Sego pecel ini terletak di sekitar kawasan UGM dan sudah berdiri sejak lama. Sajian pecel lengkap dengan sayuran segar, bumbu kacang kental, dan berbagai lauk tambahan menjadikan warung ini favorit di kalangan mahasiswa dan pengunjung.

",
Ayam Goreng Tojoyo 3,110.3868146,-7.780036341,"Ayam Goreng Tojoyo adalah restoran ayam goreng khas Jawa yang memiliki beberapa cabang di Yogyakarta. Ayamnya digoreng dengan bumbu kuning khas, disajikan dengan sambal dan lalapan.",
Bakmi Jawa Pak Pele,110.3654544,-7.804245891,"Terletak di sekitar Alun-Alun Utara Yogyakarta, Bakmi Pak Pele menyajikan bakmi Jawa dengan rasa otentik, baik dalam versi kuah maupun goreng. Tempat ini ramai dikunjungi terutama pada malam hari.",
Bakso Pa'jero,110.3848449,-7.776654468,"Warung bakso ini terkenal dengan bakso berukuran besar dan berbagai pilihan isian seperti daging, telur, dan tahu. Terletak di Yogyakarta, tempat ini menjadi favorit pecinta bakso.",
Sate Klathak Pak Bari ,110.3920698,-7.870522637,"Terletak di Jejeran, Bantul, restoran ini menyajikan sate kambing yang dipanggang dengan tusuk jeruji besi, menghasilkan sate yang empuk dengan rasa yang gurih. Tempat ini populer karena tampil dalam berbagai liputan kuliner.",
Oseng Mercon Tugu Jogja,110.3766146,-7.05891769,"Oseng Mercon ini terkenal dengan sajian super pedas yang terdiri dari daging sapi, kikil, dan krecek yang dimasak dengan cabai rawit melimpah. Terletak di dekat Tugu Jogja, ini adalah tempat yang sering dikunjungi pecinta masakan pedas.",
Nasi Brongkos Warung Handayani,110.3629828,-7.812409649,"Berlokasi di dekat Alun-Alun Selatan, Yogyakarta, Warung Handayani terkenal dengan brongkosnya, yaitu hidangan berkuah kental berbahan dasar daging sapi, kacang tolo, dan santan yang memiliki rasa gurih dan pedas.",
"Kupat Gule Bang Doel
",110.3818923,-7.749025243,Warung ini menyajikan kupat gule dengan kuah santan kental yang berisi potongan daging kambing. Rasanya yang gurih dengan rempah-rempah khas membuatnya populer di kalangan warga setempat.,
Sego Empal Bu Warno,110.3658119,-7.790230447,"Terletak di Pasar Beringharjo, Yogyakarta, warung ini dikenal dengan empalnya yang empuk dan gurih, disajikan bersama nasi putih, sambal, dan lalapan. Tempat ini legendaris di kalangan wisatawan dan penduduk lokal.",
Wedang Ronde Lek Dhie Milenial,110.3644269,-7.793620368,"Wedang ronde adalah minuman tradisional jahe yang disajikan dengan ronde (bola tepung beras berisi kacang). Di warung Lek Dhie, sajian ini memiliki sentuhan modern untuk menarik minat generasi muda.",
Wedang Ronde Pak Jumono,110.3837476,-7.776054026,Salah satu tempat yang terkenal di Yogyakarta untuk menikmati wedang ronde tradisional. Wedang ronde Pak Jumono menggunakan resep turun-temurun dengan rasa yang hangat dan menyegarkan.,
Burger Monalisa,110.3756983,-7.772817366,Tempat makan ini menyajikan burger dengan sentuhan lokal. Burger Monalisa menawarkan menu burger yang unik dengan daging yang empuk dan porsi yang mengenyangkan. Terutama saus nya yang khas.,
Nasi Goreng Dan Bakmi Jawa Pak Ateng,110.4370333,-7.73779256,"Berlokasi di Yogyakarta, warung ini terkenal dengan nasi goreng dan bakmi Jawa yang diolah dengan cara tradisional, menghasilkan cita rasa otentik dan menggugah selera.",
Roti Bakar Beverly Hills ,110.390448,-7.817726904,Tempat ini menawarkan berbagai jenis roti bakar dengan berbagai topping manis maupun gurih. Roti Bakar Beverly Hills menjadi tempat favorit anak muda untuk nongkrong sambil menikmati makanan ringan.,
Gudeg Song Djie Bu Atmo,110.352114,-7.796869186,Gudeg Song Djie terletak di area yang strategis di Yogyakarta dan terkenal dengan gudegnya yang bercita rasa manis serta kreceknya yang pedas. Rasanya sangat cocok untuk dinikmati bersama nasi putih hangat.,
"Pecel ""Senggol"" Beringharjo",110.3644311,-7.797852913,"Terletak di Pasar Beringharjo, pecel ini terkenal dengan bumbu kacang yang kental dan rasa otentik. Dengan sayuran segar dan berbagai lauk pilihan, pecel ini menjadi salah satu kuliner tradisional yang digemari banyak orang.",
